id_veiculo,servico,timestamp_gps,posicao_veiculo_geo,status_viagem
B51612,917,2023-02-14 21:14:32,POINT(-43.40487 -22.88445),middle
B51612,917,2023-02-14 21:14:32,POINT(-43.40487 -22.88445),middle
B51612,917,2023-02-14 21:14:32,POINT(-43.40487 -22.88445),middle
B51612,917,2023-02-14 21:14:32,POINT(-43.40487 -22.88445),middle
B51612,917,2023-02-14 21:14:32,POINT(-43.40487 -22.88445),middle
B51612,917,2023-02-14 21:15:03,POINT(-43.40617 -22.88407),middle
B51612,917,2023-02-14 21:15:03,POINT(-43.40617 -22.88407),middle
B51612,917,2023-02-14 21:15:03,POINT(-43.40617 -22.88407),middle
B51612,917,2023-02-14 21:15:03,POINT(-43.40617 -22.88407),middle
B51612,917,2023-02-14 21:15:03,POINT(-43.40617 -22.88407),middle
B51612,917,2023-02-14 21:15:33,POINT(-43.40889 -22.88289),middle
B51612,917,2023-02-14 21:15:33,POINT(-43.40889 -22.88289),middle
B51612,917,2023-02-14 21:15:33,POINT(-43.40889 -22.88289),middle
B51612,917,2023-02-14 21:15:33,POINT(-43.40889 -22.88289),middle
B51612,917,2023-02-14 21:15:33,POINT(-43.40889 -22.88289),middle
B51612,917,2023-02-14 21:16:02,POINT(-43.40946 -22.88251),middle
B51612,917,2023-02-14 21:16:02,POINT(-43.40946 -22.88251),middle
B51612,917,2023-02-14 21:16:02,POINT(-43.40946 -22.88251),middle
B51612,917,2023-02-14 21:16:02,POINT(-43.40946 -22.88251),middle
B51612,917,2023-02-14 21:16:02,POINT(-43.40946 -22.88251),middle
B51612,917,2023-02-14 21:16:32,POINT(-43.41068 -22.88209),middle
B51612,917,2023-02-14 21:16:32,POINT(-43.41068 -22.88209),middle
B51612,917,2023-02-14 21:16:32,POINT(-43.41068 -22.88209),middle
B51612,917,2023-02-14 21:16:32,POINT(-43.41068 -22.88209),middle
B51612,917,2023-02-14 21:16:32,POINT(-43.41068 -22.88209),middle
B51612,917,2023-02-14 21:17:02,POINT(-43.41265 -22.88102),middle
B51612,917,2023-02-14 21:17:02,POINT(-43.41265 -22.88102),middle
B51612,917,2023-02-14 21:17:02,POINT(-43.41265 -22.88102),middle
B51612,917,2023-02-14 21:17:02,POINT(-43.41265 -22.88102),middle
B51612,917,2023-02-14 21:17:02,POINT(-43.41265 -22.88102),middle
B51612,917,2023-02-14 21:17:32,POINT(-43.41418 -22.87983),middle
B51612,917,2023-02-14 21:17:32,POINT(-43.41418 -22.87983),middle
B51612,917,2023-02-14 21:17:32,POINT(-43.41418 -22.87983),middle
B51612,917,2023-02-14 21:17:32,POINT(-43.41418 -22.87983),middle
B51612,917,2023-02-14 21:17:32,POINT(-43.41418 -22.87983),middle
B51612,917,2023-02-14 21:18:03,POINT(-43.41492 -22.87893),middle
B51612,917,2023-02-14 21:18:03,POINT(-43.41492 -22.87893),middle
B51612,917,2023-02-14 21:18:03,POINT(-43.41492 -22.87893),middle
B51612,917,2023-02-14 21:18:03,POINT(-43.41492 -22.87893),middle
B51612,917,2023-02-14 21:18:03,POINT(-43.41492 -22.87893),middle
B51612,917,2023-02-14 21:18:32,POINT(-43.41514 -22.87876),middle
B51612,917,2023-02-14 21:18:32,POINT(-43.41514 -22.87876),middle
B51612,917,2023-02-14 21:18:32,POINT(-43.41514 -22.87876),middle
B51612,917,2023-02-14 21:18:32,POINT(-43.41514 -22.87876),middle
B51612,917,2023-02-14 21:18:32,POINT(-43.41514 -22.87876),middle
B51612,917,2023-02-14 21:19:02,POINT(-43.41686 -22.87818),middle
B51612,917,2023-02-14 21:19:02,POINT(-43.41686 -22.87818),middle
B51612,917,2023-02-14 21:19:02,POINT(-43.41686 -22.87818),middle
B51612,917,2023-02-14 21:19:02,POINT(-43.41686 -22.87818),middle
B51612,917,2023-02-14 21:19:02,POINT(-43.41686 -22.87818),middle
B51612,917,2023-02-14 21:19:32,POINT(-43.42089 -22.87721),middle
B51612,917,2023-02-14 21:19:32,POINT(-43.42089 -22.87721),middle
B51612,917,2023-02-14 21:19:32,POINT(-43.42089 -22.87721),middle
B51612,917,2023-02-14 21:19:32,POINT(-43.42089 -22.87721),middle
B51612,917,2023-02-14 21:19:32,POINT(-43.42089 -22.87721),middle
B51612,917,2023-02-14 21:20:02,POINT(-43.42109 -22.87716),middle
B51612,917,2023-02-14 21:20:02,POINT(-43.42109 -22.87716),middle
B51612,917,2023-02-14 21:20:02,POINT(-43.42109 -22.87716),middle
B51612,917,2023-02-14 21:20:02,POINT(-43.42109 -22.87716),middle
B51612,917,2023-02-14 21:20:02,POINT(-43.42109 -22.87716),middle
B51612,917,2023-02-14 21:20:33,POINT(-43.42249 -22.87692),middle
B51612,917,2023-02-14 21:20:33,POINT(-43.42249 -22.87692),middle
B51612,917,2023-02-14 21:20:33,POINT(-43.42249 -22.87692),middle
B51612,917,2023-02-14 21:20:33,POINT(-43.42249 -22.87692),middle
B51612,917,2023-02-14 21:20:33,POINT(-43.42249 -22.87692),middle
B51612,917,2023-02-14 21:21:02,POINT(-43.42397 -22.87677),middle
B51612,917,2023-02-14 21:21:02,POINT(-43.42397 -22.87677),middle
B51612,917,2023-02-14 21:21:02,POINT(-43.42397 -22.87677),middle
B51612,917,2023-02-14 21:21:02,POINT(-43.42397 -22.87677),middle
B51612,917,2023-02-14 21:21:02,POINT(-43.42397 -22.87677),middle
